lon,lat,dist
-84.555466,38.042097999999996,0
-84.555718,38.042339,34.71200466749658
-84.55619899999999,38.042728,60.39136135053623
-84.55671699999999,38.043147999999995,65.12219613698956
-84.557045,38.042949,36.28898978820511
-84.557137,38.042891999999995,10.259052465716113
-84.557198,38.04285,7.099669863562116
-84.557442,38.042682,28.398772285183703
-84.557839,38.042373,48.896219712750955
-84.558274,38.042049,52.45432350951276
-84.558419,38.041931,18.26369057662911
-84.558579,38.041759,23.701356432175952
-84.55864,38.041675,10.75201022604574
-84.558793,38.041446,28.748556837731336
-84.559624,38.040157,160.5990110334559
-84.55982999999999,38.039843999999995,39.166751776564865
-84.560051,38.039553999999995,37.58355943975935
-84.560189,38.039386,22.237102240304253
-84.560456,38.039119,37.784696689713535
-84.560799,38.038787,47.588333098156504
-84.561081,38.038532,37.60292086519585
-84.56150099999999,38.038173,54.28895026018745
-84.561852,38.037872,45.44992944679139
-84.562111,38.037666,32.24586355554894
-84.562378,38.037487,30.727149842254647
-84.56244699999999,38.037448,7.445167750349787
-84.562737,38.037284,31.29701585167318
-84.563118,38.037093999999996,39.54092529335234
-84.56358399999999,38.036861,48.398728991372614
-84.564301,38.03651,74.02628484086641
-84.56463699999999,38.036342,34.89712367018353
-84.565491,38.035911,88.9351523391047
-84.566109,38.03561,63.71612114375641
-84.566338,38.035499,23.578947996881222
-84.566544,38.035415,20.346780504037678
-84.566712,38.035354,16.228678864670336
-84.566918,38.035289,19.470842849114852
-84.56765,38.035076,68.47370750755813
-84.56875699999999,38.034793,102.13486929528737
-84.569092,38.034706,30.954806140631216
-84.569176,38.034683,7.803813480106658
-84.56925299999999,38.034664,7.081220989889658
-84.569321,38.034652,6.116557832136621
-84.569504,38.034614,16.610232788272484
-84.570191,38.034469,62.42310253773017
-84.570939,38.034313,67.91253826934278
-84.571427,38.034197999999996,44.703456566427434
-84.57182399999999,38.034095,36.68051365585501
-84.572037,38.034027,20.165479128222554
-84.57244899999999,38.033896999999996,38.94230543007901
-84.575287,38.032871,273.94853206206784
-84.575875,38.032665,56.45979887635719
-84.576325,38.032500999999996,43.49919815132928
-84.577294,38.032157,93.24823701610131
-84.577668,38.032028,35.82124366573286
-84.578026,38.03189,34.96422365746628
-84.57824,38.031799,21.331065749200356
-84.578492,38.031676999999995,25.9395063455281
-84.578637,38.031593,15.779456512182433
-84.579087,38.031321999999996,49.65559956109507
-84.57955199999999,38.031028,52.264575186036375
-84.580124,38.030662,64.5936851265011
-84.581559,38.029708,164.57792666544398
-84.582413,38.029154999999996,96.8994930753563
-84.58281,38.028929999999995,42.87935589705222
-84.58367199999999,38.028514,88.65596420840762
-84.583817,38.028472,13.557498765451843
-84.584969,38.028064,110.81980867626432
-84.586411,38.027575999999996,137.70704885482274
-84.589654,38.026233,321.3976796174103
-84.591149,38.025611,148.3124726974867
-84.59191899999999,38.025299,75.96116567711998
-84.59213299999999,38.025238,19.97239525038894
-84.592354,38.025199,19.881323545369554
-84.59255999999999,38.025183999999996,18.163764374333304
-84.592782,38.025177,19.507616527180026
-84.59316299999999,38.025199,33.541726205891194
-84.593514,38.025241,31.16923426455256
-84.593682,38.025268,15.05215493974118
-84.593865,38.025314,16.859555134587186
-84.594056,38.025366999999996,17.772120219498937
-84.594849,38.025622999999996,75.20204008559983
-84.59622999999999,38.026081,131.47966288734764
-84.597489,38.026508,120.27382202299194
-84.59792399999999,38.026664,41.93515753610317
-84.598542,38.026874,59.055505065550804
-84.598694,38.026916,14.136464072557969
-84.598839,38.026947,13.187851060723766
-84.59899999999999,38.026962,14.233562133116491
-84.599198,38.026976999999995,17.464002807531376
-84.599595,38.026981,34.859535844598554
-84.600579,38.027011,86.45959644417954
-84.60140299999999,38.027034,72.39241079606028
-84.601952,38.027046,48.220709231008094
-84.602448,38.027052999999995,43.55582428028891
-84.603341,38.027072,78.43391254680897
-84.60354699999999,38.027076,18.09228143883579
-84.603577,38.027136999999996,7.265113157564466
-84.60359199999999,38.027190999999995,6.136820347798512
-84.603577,38.027277999999995,9.746130898013195
-84.603539,38.027342999999995,7.9488893812941495
-84.603417,38.027477,18.329229317934317
-84.603341,38.027553,10.755823889017154
-84.603257,38.027622,10.632480920858697
-84.603196,38.027682999999996,8.632957825710138
-84.603127,38.027778,12.161084022994455
-84.60305799999999,38.027896,14.4308413649235
-84.602936,38.028082999999995,23.35732754637112
-84.60279899999999,38.028228,20.09274885140701
-84.602654,38.028369,20.174592155069433
-84.602509,38.028521999999995,21.224506669475026
-84.602402,38.028625,14.797328515602478
-84.60234899999999,38.02869,8.585250102267183
