lat,lon,prediction,1,2,3,4,5
-84.555718,38.042339,5,0.004002,0.078776,0.093856,0.281077,0.542288
-84.556199,38.042728,5,0.001099,0.106608,0.061179,0.103176,0.727938
-84.555466,38.042098,5,0.105914,0.041094,0.229519,0.305772,0.317701
-84.557045,38.042949,5,0.018347,0.088614,0.122752,0.244975,0.525312
-84.557198,38.04285,5,0.042164,0.043939,0.317552,0.08189,0.514456
-84.557137,38.042892,5,0.003409,0.007761,0.016264,0.013316,0.959249
-84.556717,38.043148,2,0.053056,0.511357,0.230928,0.127428,0.077231
-84.557442,38.042682,4,0.023272,0.194637,0.056986,0.531163,0.193941
-84.558579,38.041759,4,0.001681,0.023586,0.291635,0.590358,0.092739
-84.558274,38.042049,4,0.087745,0.158822,0.062339,0.657789,0.033305
-84.557839,38.042373,4,0.005853,0.061402,0.076918,0.822743,0.033085
-84.558419,38.041931,4,0.002498,0.064334,0.079263,0.834482,0.019424
-84.55864,38.041675,4,0.16176,0.258613,0.124143,0.43738,0.018105
-84.55983,38.039844,3,0.065623,0.039027,0.548735,0.230273,0.116342
-84.558793,38.041446,4,0.093342,0.201415,0.053604,0.627095,0.024545
-84.559624,38.040157,4,0.050958,0.082617,0.377803,0.463334,0.025288
-84.560456,38.039119,3,0.001593,0.007936,0.863184,0.113761,0.013526
-84.560189,38.039386,4,0.017695,0.130067,0.306262,0.539664,0.006312
-84.560051,38.039554,3,0.35842,0.01808,0.376103,0.204396,0.043
-84.560799,38.038787,2,0.015087,0.427566,0.266346,0.242453,0.048548
-84.561852,38.037872,4,0.017403,0.120136,0.229252,0.530029,0.10318
-84.561501,38.038173,4,0.243792,0.044502,0.230107,0.449825,0.031774
-84.561081,38.038532,3,0.05783,0.360425,0.372509,0.16445,0.044786
-84.562111,38.037666,3,0.040453,0.055724,0.423785,0.114561,0.365477
-84.562737,38.037284,4,0.003991,0.208876,0.178243,0.495387,0.113503
-84.562378,38.037487,3,0.030503,0.030491,0.528659,0.118762,0.291584
-84.562447,38.037448,4,0.017214,0.056609,0.254438,0.366195,0.305543
-84.563584,38.036861,3,0.01095,0.388437,0.527685,0.071961,0.000966
-84.563118,38.037094,4,0.000748,0.027967,0.094756,0.861236,0.015293
-84.564301,38.03651,4,0.00048,0.005638,0.001525,0.593754,0.398603
-84.564637,38.036342,4,0.000033,0.001987,0.000346,0.997429,0.000206
-84.566109,38.03561,4,0.091331,0.124895,0.076545,0.610969,0.09626
-84.566544,38.035415,3,0.01499,0.038526,0.576396,0.330387,0.039702
-84.565491,38.035911,4,0.000188,0.053263,0.385095,0.523321,0.038133
-84.566338,38.035499,4,0.159689,0.140472,0.03744,0.658257,0.004141
-84.566712,38.035354,4,0.000724,0.000271,0.025821,0.971013,0.002172
-84.566918,38.035289,1,0.716113,0.016844,0.129318,0.091882,0.045843
-84.569092,38.034706,2,0.05049,0.388887,0.369848,0.187095,0.00368
-84.568757,38.034793,4,0.031997,0.121741,0.172857,0.670021,0.003384
-84.56765,38.035076,4,0.003517,0.004425,0.019425,0.970707,0.001926
-84.569176,38.034683,4,0.029537,0.286417,0.255738,0.424228,0.00408
-84.570191,38.034469,4,0.045853,0.263516,0.120155,0.553915,0.016562
-84.569253,38.034664,2,0.239546,0.399922,0.233264,0.126189,0.001079
-84.569321,38.034652,4,0.048966,0.29516,0.141205,0.489973,0.024695
-84.569504,38.034614,2,0.020983,0.46343,0.270967,0.224584,0.020035
-84.570939,38.034313,4,0.005509,0.13325,0.129858,0.675154,0.05623
-84.571427,38.034198,4,0.000536,0.078941,0.045951,0.663925,0.210647
-84.571824,38.034095,4,0.000803,0.034553,0.019401,0.936859,0.008383
-84.572449,38.033897,4,0.000518,0.102205,0.338443,0.530552,0.028281
-84.575287,38.032871,4,0.000092,0.000775,0.002113,0.98424,0.01278
-84.572037,38.034027,4,0.000239,0.007308,0.055409,0.87327,0.063774
-84.577294,38.032157,4,0.000472,0.00204,0.018011,0.865233,0.114245
-84.577668,38.032028,4,0.000465,0.000125,0.177815,0.781535,0.04006
-84.575875,38.032665,4,0.004907,0.005126,0.036258,0.834207,0.119502
-84.576325,38.032501,4,0.0004,0.003892,0.016876,0.861663,0.11717
-84.578637,38.031593,4,0.000015,0.006558,0.008903,0.984366,0.000158
-84.578026,38.03189,4,0.000003,0.000616,0.004501,0.980297,0.014583
-84.578492,38.031677,4,0.000003,0.000113,0.001,0.998727,0.000156
-84.57824,38.031799,4,0.000053,0.002916,0.005049,0.990971,0.001011
-84.579552,38.031028,4,0.000012,0.000173,0.001783,0.996775,0.001257
-84.579087,38.031322,4,0.000012,0.004295,0.01415,0.975833,0.005711
-84.580124,38.030662,4,0.000006,0.000916,0.002144,0.996502,0.000431
-84.581559,38.029708,4,0.025521,0.031935,0.216422,0.608429,0.117693
-84.582413,38.029155,5,0.115852,0.103139,0.136465,0.156393,0.488151
-84.583817,38.028472,1,0.745783,0.002352,0.113525,0.138183,0.000158
-84.58281,38.02893,2,0.001272,0.407665,0.194688,0.11068,0.285696
-84.583672,38.028514,1,0.52846,0.004738,0.115602,0.351142,0.000058
-84.586411,38.027576,5,0.001454,0.03684,0.020016,0.129037,0.812653
-84.589654,38.026233,4,0.002848,0.056918,0.047662,0.882026,0.010545
-84.591149,38.025611,4,0.06312,0.066565,0.130503,0.684156,0.055656
-84.584969,38.028064,4,0.002374,0.043792,0.042982,0.895564,0.015289
-84.592133,38.025238,4,0.006091,0.113879,0.200021,0.41063,0.269379
-84.591919,38.025299,4,0.0007,0.003203,0.047443,0.944667,0.003987
-84.592354,38.025199,4,0.006376,0.009319,0.346387,0.63033,0.007588
-84.59256,38.025184,4,0.003881,0.078849,0.378256,0.462937,0.076077
-84.592782,38.025177,4,0.000566,0.041605,0.255436,0.543561,0.158832
-84.593163,38.025199,3,0.011308,0.112132,0.347043,0.250648,0.278869
-84.594056,38.025367,3,0.034472,0.076105,0.526011,0.142078,0.221335
-84.593514,38.025241,4,0.038051,0.117621,0.143305,0.410663,0.290359
-84.593682,38.025268,4,0.010341,0.024779,0.214798,0.728446,0.021635
-84.593865,38.025314,2,0.045539,0.395868,0.157037,0.14838,0.253176
-84.594849,38.025623,3,0.003942,0.275745,0.307789,0.252386,0.160137
-84.597924,38.026664,4,0.000093,0.007525,0.003404,0.934347,0.054631
-84.59623,38.026081,4,0.001587,0.131264,0.186438,0.348764,0.331947
-84.597489,38.026508,5,0.001979,0.024297,0.03754,0.082139,0.854045
-84.598542,38.026874,5,0.012733,0.061144,0.029837,0.060671,0.835614
-84.598839,38.026947,5,0.00931,0.160159,0.167242,0.137119,0.52617
-84.598694,38.026916,5,0.011602,0.049509,0.156272,0.387125,0.395492
-84.599,38.026962,4,0.000897,0.134385,0.031862,0.548474,0.284382
-84.600579,38.027011,5,0.018023,0.08356,0.099751,0.28543,0.513236
-84.599595,38.026981,5,0.003422,0.055517,0.135177,0.071614,0.734271
-84.602448,38.027053,5,0.010187,0.281391,0.224357,0.146804,0.337262
-84.599198,38.026977,4,0.004703,0.002609,0.035722,0.924111,0.032855
-84.601952,38.027046,4,0.004248,0.086708,0.043315,0.442734,0.422995
-84.601403,38.027034,5,0.063362,0.033195,0.062026,0.289844,0.551573
-84.603341,38.027072,5,0.000701,0.013248,0.084706,0.408489,0.492857
-84.603547,38.027076,5,0.09032,0.011613,0.274681,0.105978,0.517407
-84.603417,38.027477,5,0.00265,0.012733,0.061669,0.368519,0.554429
-84.555466,38.042098,5,0.105914,0.041094,0.229519,0.305772,0.317701
-84.556199,38.042728,5,0.001099,0.106608,0.061179,0.103176,0.727938
